pos,scaled_pos,time,intensity
-24987.0,-0.053472179999999994,-163939707.0,0.0311
-24902.0,-0.053290279999999995,-163382022.0,0.0298
-24822.0,-0.05311908,-162857142.0,0.0298
-24742.0,-0.052947879999999996,-162332262.0,0.0296
-24660.0,-0.0527724,-161794260.0,0.0296
-24582.0,-0.052605479999999996,-161282502.0,0.0296
-24502.0,-0.05243427999999999,-160757622.0,0.0294
-24424.0,-0.05226736,-160245864.0,0.0294
-24345.0,-0.05209829999999999,-159727545.0,0.0294
-24267.0,-0.05193138,-159215787.0,0.0294
-24182.0,-0.051749479999999994,-158658102.0,0.0296
-24102.0,-0.05157828,-158133222.0,0.0296
-24022.0,-0.051407079999999994,-157608342.0,0.0295
-23942.0,-0.05123588,-157083462.0,0.0295
-23862.0,-0.051064679999999994,-156558582.0,0.0295
-23782.0,-0.05089348,-156033702.0,0.0295
-23702.0,-0.050722279999999995,-155508822.0,0.0295
-23622.0,-0.05055108,-154983942.0,0.0295
-23543.0,-0.05038202,-154465623.0,0.0295
-23465.0,-0.0502151,-153953865.0,0.0295
-23387.0,-0.05004818,-153442107.0,0.0295
-23308.0,-0.04987912,-152923788.0,0.0295
-23222.0,-0.049695079999999996,-152359542.0,0.0293
-23143.0,-0.04952602,-151841223.0,0.0295
-23063.0,-0.049354819999999994,-151316343.0,0.0295
-22982.0,-0.04918148,-150784902.0,0.0294
-22901.0,-0.04900814,-150253461.0,0.0294
-22823.0,-0.04884122,-149741703.0,0.0293
-22742.0,-0.04866788,-149210262.0,0.0293
-22663.0,-0.04849882,-148691943.0,0.0293
-22582.0,-0.04832548,-148160502.0,0.0293
-22502.0,-0.048154279999999994,-147635622.0,0.0293
-22422.0,-0.04798308,-147110742.0,0.0293
-22342.0,-0.047811879999999994,-146585862.0,0.0293
-22264.0,-0.04764495999999999,-146074104.0,0.0293
-22182.0,-0.047469479999999994,-145536102.0,0.0293
-22107.0,-0.047308979999999994,-145044027.0,0.0293
-22030.0,-0.0471442,-144538830.0,0.0293
-21947.0,-0.046966579999999994,-143994267.0,0.0293
-21862.0,-0.046784679999999995,-143436582.0,0.0293
-21781.0,-0.046611339999999994,-142905141.0,0.0293
-21700.0,-0.04643799999999999,-142373700.0,0.0292
-21624.0,-0.046275359999999995,-141875064.0,0.0293
-21552.0,-0.046121279999999994,-141402672.0,0.0293
-21463.0,-0.04593082,-140818743.0,0.0292
-21384.0,-0.04576176,-140300424.0,0.0294
-21309.0,-0.04560126,-139808349.0,0.0295
-21222.0,-0.04541508,-139237542.0,0.0294
