pos,scaled_pos,time,intensity
-14989.0,-0.032076459999999994,-98342829.0,0.0317
-14919.0,-0.031926659999999996,-97883559.0,0.0313
-14835.0,-0.031746899999999995,-97332435.0,0.0314
-14751.0,-0.03156714,-96781311.0,0.0312
-14678.0,-0.031410919999999995,-96302358.0,0.0312
-14589.0,-0.03122046,-95718429.0,0.0312
-14507.0,-0.031044979999999996,-95180427.0,0.031
-14434.0,-0.030888759999999998,-94701474.0,0.0309
-14347.0,-0.030702579999999997,-94130667.0,0.0313
-14269.0,-0.03053566,-93618909.0,0.0309
-14189.0,-0.03036446,-93094029.0,0.0313
-14109.0,-0.030193259999999996,-92569149.0,0.0313
-14028.0,-0.03001992,-92037708.0,0.0315
-13940.0,-0.029831599999999996,-91460340.0,0.0318
-13876.0,-0.029694639999999998,-91040436.0,0.0319
-13795.0,-0.029521299999999997,-90508995.0,0.032
-13714.0,-0.02934796,-89977554.0,0.032
-13629.0,-0.029166059999999997,-89419869.0,0.0322
-13558.0,-0.029014119999999997,-88954038.0,0.0325
-13467.0,-0.02881938,-88356987.0,0.0323
-13388.0,-0.028650319999999996,-87838668.0,0.0325
-13317.0,-0.028498379999999997,-87372837.0,0.0325
-13229.0,-0.028310059999999998,-86795469.0,0.0324
-13156.0,-0.02815384,-86316516.0,0.0325
-13076.0,-0.02798264,-85791636.0,0.0325
-12998.0,-0.02781572,-85279878.0,0.0327
-12909.0,-0.02762526,-84695949.0,0.0329
-12827.0,-0.027449779999999997,-84157947.0,0.0329
-12749.0,-0.02728286,-83646189.0,0.0329
-12675.0,-0.0271245,-83160675.0,0.0329
-12589.0,-0.02694046,-82596429.0,0.0331
-12516.0,-0.026784239999999997,-82117476.0,0.0333
-12429.0,-0.026598059999999996,-81546669.0,0.0329
-12349.0,-0.026426859999999996,-81021789.0,0.0335
-12271.0,-0.02625994,-80510031.0,0.0337
-12189.0,-0.026084459999999997,-79972029.0,0.0336
-12111.0,-0.02591754,-79460271.0,0.034
-12029.0,-0.025742059999999997,-78922269.0,0.0342
-11948.0,-0.02556872,-78390828.0,0.0344
-11869.0,-0.025399659999999998,-77872509.0,0.0346
-11789.0,-0.025228459999999998,-77347629.0,0.0347
-11703.0,-0.025044419999999998,-76783383.0,0.0351
-11636.0,-0.02490104,-76343796.0,0.0354
-11548.0,-0.024712719999999997,-75766428.0,0.0355
-11469.0,-0.02454366,-75248109.0,0.036
-11388.0,-0.024370319999999997,-74716668.0,0.0363
-11309.0,-0.02420126,-74198349.0,0.0365
-11235.0,-0.0240429,-73712835.0,0.0365
-11152.0,-0.02386528,-73168272.0,0.0364
-11073.0,-0.023696219999999997,-72649953.0,0.0371
-10991.0,-0.02352074,-72111951.0,0.037
-10907.0,-0.023340979999999997,-71560827.0,0.0377
-10837.0,-0.02319118,-71101557.0,0.038
-10756.0,-0.023017839999999998,-70570116.0,0.0387
-10672.0,-0.022838079999999997,-70018992.0,0.0391
-10587.0,-0.022656179999999998,-69461307.0,0.0392
-10508.0,-0.02248712,-68942988.0,0.0396
-10429.0,-0.022318059999999997,-68424669.0,0.04
-10350.0,-0.022149,-67906350.0,0.04
-10269.0,-0.021975659999999998,-67374909.0,0.0405
-10189.0,-0.021804459999999998,-66850029.0,0.0408
-10108.0,-0.021631119999999997,-66318588.0,0.0415
-10029.0,-0.021462059999999998,-65800269.0,0.0418
-9960.0,-0.021314399999999997,-65347560.0,0.0421
-9875.0,-0.0211325,-64789875.0,0.0429
-9789.0,-0.02094846,-64225629.0,0.0431
-9709.0,-0.02077726,-63700749.0,0.0442
-9628.0,-0.020603919999999998,-63169308.0,0.0448
-9549.0,-0.02043486,-62650989.0,0.0454
-9475.0,-0.0202765,-62165475.0,0.0456
-9394.0,-0.02010316,-61634034.0,0.0458
-9311.0,-0.01992554,-61089471.0,0.0466
-9229.0,-0.01975006,-60551469.0,0.0474
-9149.0,-0.01957886,-60026589.0,0.0482
-9058.0,-0.019384119999999998,-59429538.0,0.0496
-8998.0,-0.019255719999999997,-59035878.0,0.0512
-8909.0,-0.019065259999999997,-58451949.0,0.0515
-8829.0,-0.018894059999999997,-57927069.0,0.0525
-8749.0,-0.018722859999999997,-57402189.0,0.0544
-8672.0,-0.018558079999999998,-56896992.0,0.055
-8589.0,-0.018380459999999998,-56352429.0,0.0556
-8513.0,-0.01821782,-55853793.0,0.057
-8429.0,-0.018038059999999998,-55302669.0,0.0577
-8354.0,-0.017877559999999997,-54810594.0,0.0587
-8269.0,-0.01769566,-54252909.0,0.0599
-8189.0,-0.01752446,-53728029.0,0.0621
-8108.0,-0.017351119999999998,-53196588.0,0.0632
-8021.0,-0.01716494,-52625781.0,0.0644
-7953.0,-0.01701942,-52179633.0,0.0653
-7869.0,-0.01683966,-51628509.0,0.0668
-7791.0,-0.01667274,-51116751.0,0.0698
-7711.0,-0.01650154,-50591871.0,0.0704
-7628.0,-0.01632392,-50047308.0,0.0716
-7549.0,-0.01615486,-49528989.0,0.0733
-7475.0,-0.0159965,-49043475.0,0.0748
-7393.0,-0.015821019999999998,-48505473.0,0.0761
-7308.0,-0.01563912,-47947788.0,0.0773
-7234.0,-0.01548076,-47462274.0,0.0804
-7150.0,-0.015300999999999999,-46911150.0,0.0811
-7069.0,-0.01512766,-46379709.0,0.0833
-6992.0,-0.01496288,-45874512.0,0.0849
-6912.0,-0.014791679999999998,-45349632.0,0.0868
-6834.0,-0.014624759999999999,-44837874.0,0.0882
-6750.0,-0.014445,-44286750.0,0.0893
-6669.0,-0.014271659999999999,-43755309.0,0.0916
-6589.0,-0.014100459999999999,-43230429.0,0.0937
-6516.0,-0.013944239999999998,-42751476.0,0.0945
-6437.0,-0.01377518,-42233157.0,0.0962
-6349.0,-0.01358686,-41655789.0,0.0976
-6278.0,-0.01343492,-41189958.0,0.102
-6198.0,-0.01326372,-40665078.0,0.104
-6109.0,-0.01307326,-40081149.0,0.106
-6029.0,-0.012902059999999998,-39556269.0,0.107
-5956.0,-0.01274584,-39077316.0,0.111
-5876.0,-0.01257464,-38552436.0,0.112
-5789.0,-0.012388459999999999,-37981629.0,0.114
-5710.0,-0.012219399999999998,-37463310.0,0.118
-5630.0,-0.012048199999999998,-36938430.0,0.119
-5550.0,-0.011876999999999999,-36413550.0,0.121
-5469.0,-0.01170366,-35882109.0,0.123
-5389.0,-0.01153246,-35357229.0,0.127
-5309.0,-0.01136126,-34832349.0,0.131
-5229.0,-0.01119006,-34307469.0,0.132
-5149.0,-0.011018859999999998,-33782589.0,0.134
-5073.0,-0.01085622,-33283953.0,0.139
-4989.0,-0.010676459999999999,-32732829.0,0.139
-4909.0,-0.010505259999999999,-32207949.0,0.142
-4835.0,-0.0103469,-31722435.0,0.144
-4758.0,-0.01018212,-31217238.0,0.147
-4669.0,-0.00999166,-30633309.0,0.15
-4589.0,-0.00982046,-30108429.0,0.153
-4510.0,-0.0096514,-29590110.0,0.155
-4434.0,-0.009488759999999999,-29091474.0,0.156
-4356.0,-0.00932184,-28579716.0,0.159
-4272.0,-0.009142079999999999,-28028592.0,0.16
-4190.0,-0.0089666,-27490590.0,0.164
-4108.0,-0.00879112,-26952588.0,0.166
-4029.0,-0.008622059999999999,-26434269.0,0.169
-3948.0,-0.00844872,-25902828.0,0.174
-3873.0,-0.008288219999999999,-25410753.0,0.177
-3789.0,-0.00810846,-24859629.0,0.179
-3701.0,-0.007920139999999999,-24282261.0,0.182
-3629.0,-0.007766059999999999,-23809869.0,0.183
-3549.0,-0.007594859999999999,-23284989.0,0.185
-3474.0,-0.007434359999999999,-22792914.0,0.191
-3394.0,-0.007263159999999999,-22268034.0,0.193
-3311.0,-0.0070855399999999995,-21723471.0,0.195
-3229.0,-0.006910059999999999,-21185469.0,0.2
-3148.0,-0.00673672,-20654028.0,0.201
-3069.0,-0.0065676599999999995,-20135709.0,0.207
-2989.0,-0.00639646,-19610829.0,0.209
-2909.0,-0.00622526,-19085949.0,0.212
-2829.0,-0.006054059999999999,-18561069.0,0.216
-2754.0,-0.00589356,-18068994.0,0.217
-2669.0,-0.0057116599999999995,-17511309.0,0.22
-2588.0,-0.005538319999999999,-16979868.0,0.222
-2509.0,-0.00536926,-16461549.0,0.226
-2429.0,-0.00519806,-15936669.0,0.232
-2349.0,-0.005026859999999999,-15411789.0,0.233
-2270.0,-0.0048578,-14893470.0,0.236
-2199.0,-0.00470586,-14427639.0,0.239
-2109.0,-0.00451326,-13837149.0,0.243
-2036.0,-0.0043570399999999995,-13358196.0,0.247
-1955.0,-0.004183699999999999,-12826755.0,0.248
-1869.0,-0.0039996599999999995,-12262509.0,0.25
-1789.0,-0.0038284599999999997,-11737629.0,0.254
-1709.0,-0.00365726,-11212749.0,0.259
-1631.0,-0.0034903399999999998,-10700991.0,0.26
-1553.0,-0.0033234199999999997,-10189233.0,0.263
-1460.0,-0.0031244,-9579060.0,0.265
-1392.0,-0.0029788799999999997,-9132912.0,0.271
-1311.0,-0.0028055399999999996,-8601471.0,0.273
-1229.0,-0.0026300599999999996,-8063469.0,0.275
-1153.0,-0.0024674199999999997,-7564833.0,0.277
-1069.0,-0.00228766,-7013709.0,0.28
-995.0,-0.0021292999999999998,-6528195.0,0.282
-911.0,-0.0019495399999999998,-5977071.0,0.283
-828.0,-0.00177192,-5432508.0,0.285
-749.0,-0.0016028599999999998,-4914189.0,0.287
-670.0,-0.0014337999999999998,-4395870.0,0.287
-589.0,-0.00126046,-3864429.0,0.289
-508.0,-0.00108712,-3332988.0,0.291
-436.0,-0.0009330399999999999,-2860596.0,0.292
-338.0,-0.00072332,-2217618.0,0.293
-278.0,-0.00059492,-1823958.0,0.294
-188.0,-0.00040231999999999996,-1233468.0,0.296
-115.0,-0.00024609999999999996,-754515.0,0.298
-33.0,-7.062e-05,-216513.0,0.3
51.0,0.00010913999999999999,334611.0,0.303
131.0,0.00028033999999999996,859491.0,0.305
207.0,0.00044298,1358127.0,0.305
291.0,0.00062274,1909251.0,0.307
361.0,0.0007725399999999999,2368521.0,0.308
451.0,0.00096514,2959011.0,0.309
525.0,0.0011235,3444525.0,0.31
607.0,0.00129898,3982527.0,0.31
691.0,0.0014787399999999999,4533651.0,0.311
770.0,0.0016477999999999998,5051970.0,0.312
850.0,0.0018189999999999999,5576850.0,0.312
932.0,0.00199448,6114852.0,0.313
1011.0,0.00216354,6633171.0,0.312
