pos,scaled_pos,time,intensity
-19991.0,-0.04278074,-131160951.0,0.0329
-19900.0,-0.042586,-130563900.0,0.0314
-19838.0,-0.042453319999999996,-130157118.0,0.0314
-19743.0,-0.04225002,-129533823.0,0.0312
-19664.0,-0.042080959999999994,-129015504.0,0.0311
-19580.0,-0.0419012,-128464380.0,0.031
-19508.0,-0.04174712,-127991988.0,0.031
-19423.0,-0.04156522,-127434303.0,0.0311
-19353.0,-0.041415419999999994,-126975033.0,0.031
-19261.0,-0.04121854,-126371421.0,0.0309
-19183.0,-0.04105162,-125859663.0,0.0309
-19099.0,-0.040871859999999996,-125308539.0,0.0308
-19023.0,-0.04070922,-124809903.0,0.0307
-18943.0,-0.040538019999999994,-124285023.0,0.0307
-18863.0,-0.04036682,-123760143.0,0.0307
-18779.0,-0.04018706,-123209019.0,0.0307
-18703.0,-0.04002442,-122710383.0,0.0307
-18619.0,-0.03984466,-122159259.0,0.0307
-18545.0,-0.039686299999999994,-121673745.0,0.0307
-18462.0,-0.03950868,-121129182.0,0.0307
-18388.0,-0.039350319999999994,-120643668.0,0.0307
-18302.0,-0.03916628,-120079422.0,0.0307
-18220.0,-0.0389908,-119541420.0,0.0306
-18145.0,-0.0388303,-119049345.0,0.0305
-18063.0,-0.03865482,-118511343.0,0.0306
-17989.0,-0.038496459999999996,-118025829.0,0.0306
-17905.0,-0.038316699999999995,-117474705.0,0.0309
-17822.0,-0.03813908,-116930142.0,0.0309
-17748.0,-0.037980719999999996,-116444628.0,0.0308
-17661.0,-0.037794539999999995,-115873821.0,0.0305
-17596.0,-0.03765544,-115447356.0,0.0306
-17504.0,-0.037458559999999995,-114843744.0,0.0303
-17423.0,-0.037285219999999994,-114312303.0,0.0304
-17345.0,-0.0371183,-113800545.0,0.0304
-17265.0,-0.0369471,-113275665.0,0.0304
-17186.0,-0.03677804,-112757346.0,0.0304
-17102.0,-0.03659828,-112206222.0,0.0309
-17023.0,-0.03642922,-111687903.0,0.0309
-16941.0,-0.03625374,-111149901.0,0.0309
-16869.0,-0.03609966,-110677509.0,0.0312
-16783.0,-0.035915619999999995,-110113263.0,0.0312
-16710.0,-0.0357594,-109634310.0,0.0312
-16622.0,-0.03557108,-109056942.0,0.0307
-16551.0,-0.035419139999999995,-108591111.0,0.0307
-16461.0,-0.03522654,-108000621.0,0.0308
-16391.0,-0.035076739999999995,-107541351.0,0.0308
-16303.0,-0.034888419999999996,-106963983.0,0.0309
-16222.0,-0.034715079999999995,-106432542.0,0.0307
-16145.0,-0.0345503,-105927345.0,0.0306
-16067.0,-0.03438338,-105415587.0,0.0305
-15982.0,-0.03420148,-104857902.0,0.0306
-15904.0,-0.03403456,-104346144.0,0.0306
